stem,image,mask,img_w,img_h,mask_w,mask_h,uniq_count,min_label,max_label,error
000000042956_1334,data/train_dataset/img/train/000000042956_1334.jpg,data/train_dataset/labels/train/000000042956_1334.png,256,256,256,256,2,0,1,
000000045040_1484,data/train_dataset/img/train/000000045040_1484.jpg,data/train_dataset/labels/train/000000045040_1484.png,256,256,256,256,2,0,2,
000000045587_1711,data/train_dataset/img/train/000000045587_1711.jpg,data/train_dataset/labels/train/000000045587_1711.png,256,256,256,256,2,0,2,
000000045771_4704,data/train_dataset/img/train/000000045771_4704.jpg,data/train_dataset/labels/train/000000045771_4704.png,256,256,256,256,2,0,1,
000000046230_7013,data/train_dataset/img/train/000000046230_7013.jpg,data/train_dataset/labels/train/000000046230_7013.png,256,256,256,256,2,0,2,
000000049758_3963,data/train_dataset/img/train/000000049758_3963.jpg,data/train_dataset/labels/train/000000049758_3963.png,256,256,256,256,2,0,1,
000000052846_6699,data/train_dataset/img/train/000000052846_6699.jpg,data/train_dataset/labels/train/000000052846_6699.png,256,256,256,256,2,0,1,
000000056701_125,data/train_dataset/img/train/000000056701_125.jpg,data/train_dataset/labels/train/000000056701_125.png,256,256,256,256,2,0,2,
000000056857_4445,data/train_dataset/img/train/000000056857_4445.jpg,data/train_dataset/labels/train/000000056857_4445.png,256,256,256,256,2,0,1,
000000064899_2835,data/train_dataset/img/train/000000064899_2835.jpg,data/train_dataset/labels/train/000000064899_2835.png,256,256,256,256,2,0,2,
000000066011_2187,data/train_dataset/img/train/000000066011_2187.jpg,data/train_dataset/labels/train/000000066011_2187.png,256,256,256,256,2,0,1,
000000066041_3589,data/train_dataset/img/train/000000066041_3589.jpg,data/train_dataset/labels/train/000000066041_3589.png,256,256,256,256,2,0,1,
000000067445_4881,data/train_dataset/img/train/000000067445_4881.jpg,data/train_dataset/labels/train/000000067445_4881.png,256,256,256,256,2,0,2,
000000069480_3325,data/train_dataset/img/train/000000069480_3325.jpg,data/train_dataset/labels/train/000000069480_3325.png,256,256,256,256,2,0,2,
000000070815_324,data/train_dataset/img/train/000000070815_324.jpg,data/train_dataset/labels/train/000000070815_324.png,256,256,256,256,2,0,2,
000000071313_4743,data/train_dataset/img/train/000000071313_4743.jpg,data/train_dataset/labels/train/000000071313_4743.png,256,256,256,256,2,0,2,
000000072902_3044,data/train_dataset/img/train/000000072902_3044.jpg,data/train_dataset/labels/train/000000072902_3044.png,256,256,256,256,2,0,2,
000000077325_4727,data/train_dataset/img/train/000000077325_4727.jpg,data/train_dataset/labels/train/000000077325_4727.png,256,256,256,256,2,0,2,
000000086215_209,data/train_dataset/img/train/000000086215_209.jpg,data/train_dataset/labels/train/000000086215_209.png,256,256,256,256,2,0,1,
000000095050_2721,data/train_dataset/img/train/000000095050_2721.jpg,data/train_dataset/labels/train/000000095050_2721.png,256,256,256,256,2,0,2,
000000095363_2465,data/train_dataset/img/train/000000095363_2465.jpg,data/train_dataset/labels/train/000000095363_2465.png,256,256,256,256,2,0,2,
000000097902_3578,data/train_dataset/img/train/000000097902_3578.jpg,data/train_dataset/labels/train/000000097902_3578.png,256,256,256,256,2,0,2,
000000098503_3189,data/train_dataset/img/train/000000098503_3189.jpg,data/train_dataset/labels/train/000000098503_3189.png,256,256,256,256,2,0,2,
000000103581_7300,data/train_dataset/img/train/000000103581_7300.jpg,data/train_dataset/labels/train/000000103581_7300.png,256,256,256,256,2,0,2,
000000103806_56,data/train_dataset/img/train/000000103806_56.jpg,data/train_dataset/labels/train/000000103806_56.png,256,256,256,256,2,0,1,
000000104421_1293,data/train_dataset/img/train/000000104421_1293.jpg,data/train_dataset/labels/train/000000104421_1293.png,256,256,256,256,2,0,2,
000000108599_3349,data/train_dataset/img/train/000000108599_3349.jpg,data/train_dataset/labels/train/000000108599_3349.png,256,256,256,256,2,0,2,
000000111195_5637,data/train_dataset/img/train/000000111195_5637.jpg,data/train_dataset/labels/train/000000111195_5637.png,256,256,256,256,2,0,2,
000000116048_5625,data/train_dataset/img/train/000000116048_5625.jpg,data/train_dataset/labels/train/000000116048_5625.png,256,256,256,256,2,0,2,
000000116503_5471,data/train_dataset/img/train/000000116503_5471.jpg,data/train_dataset/labels/train/000000116503_5471.png,256,256,256,256,2,0,1,
000000118680_4349,data/train_dataset/img/train/000000118680_4349.jpg,data/train_dataset/labels/train/000000118680_4349.png,256,256,256,256,2,0,1,
000000118960_5884,data/train_dataset/img/train/000000118960_5884.jpg,data/train_dataset/labels/train/000000118960_5884.png,256,256,256,256,2,0,1,
000000120466_2612,data/train_dataset/img/train/000000120466_2612.jpg,data/train_dataset/labels/train/000000120466_2612.png,256,256,256,256,2,0,2,
000000121530_5761,data/train_dataset/img/train/000000121530_5761.jpg,data/train_dataset/labels/train/000000121530_5761.png,256,256,256,256,2,0,1,
000000122953_85,data/train_dataset/img/train/000000122953_85.jpg,data/train_dataset/labels/train/000000122953_85.png,256,256,256,256,2,0,1,
000000123916_5831,data/train_dataset/img/train/000000123916_5831.jpg,data/train_dataset/labels/train/000000123916_5831.png,256,256,256,256,2,0,1,
000000138186_7149,data/train_dataset/img/train/000000138186_7149.jpg,data/train_dataset/labels/train/000000138186_7149.png,256,256,256,256,2,0,1,
000000141800_5633,data/train_dataset/img/train/000000141800_5633.jpg,data/train_dataset/labels/train/000000141800_5633.png,256,256,256,256,2,0,1,
000000148827_6207,data/train_dataset/img/train/000000148827_6207.jpg,data/train_dataset/labels/train/000000148827_6207.png,256,256,256,256,2,0,1,
000000149184_281,data/train_dataset/img/train/000000149184_281.jpg,data/train_dataset/labels/train/000000149184_281.png,256,256,256,256,2,0,1,
000000149442_7562,data/train_dataset/img/train/000000149442_7562.jpg,data/train_dataset/labels/train/000000149442_7562.png,256,256,256,256,2,0,2,
000000152588_3243,data/train_dataset/img/train/000000152588_3243.jpg,data/train_dataset/labels/train/000000152588_3243.png,256,256,256,256,2,0,2,
000000156506_5493,data/train_dataset/img/train/000000156506_5493.jpg,data/train_dataset/labels/train/000000156506_5493.png,256,256,256,256,2,0,1,
000000159069_6996,data/train_dataset/img/train/000000159069_6996.jpg,data/train_dataset/labels/train/000000159069_6996.png,256,256,256,256,2,0,2,
000000168146_1385,data/train_dataset/img/train/000000168146_1385.jpg,data/train_dataset/labels/train/000000168146_1385.png,256,256,256,256,2,0,1,
000000168852_6892,data/train_dataset/img/train/000000168852_6892.jpg,data/train_dataset/labels/train/000000168852_6892.png,256,256,256,256,2,0,2,
000000171239_5013,data/train_dataset/img/train/000000171239_5013.jpg,data/train_dataset/labels/train/000000171239_5013.png,256,256,256,256,2,0,1,
000000171753_498,data/train_dataset/img/train/000000171753_498.jpg,data/train_dataset/labels/train/000000171753_498.png,256,256,256,256,2,0,1,
000000177258_1143,data/train_dataset/img/train/000000177258_1143.jpg,data/train_dataset/labels/train/000000177258_1143.png,256,256,256,256,2,0,1,
000000177413_4194,data/train_dataset/img/train/000000177413_4194.jpg,data/train_dataset/labels/train/000000177413_4194.png,256,256,256,256,2,0,1,
000000180672_4127,data/train_dataset/img/train/000000180672_4127.jpg,data/train_dataset/labels/train/000000180672_4127.png,256,256,256,256,2,0,1,
000000182758_3388,data/train_dataset/img/train/000000182758_3388.jpg,data/train_dataset/labels/train/000000182758_3388.png,256,256,256,256,2,0,1,
000000185004_4662,data/train_dataset/img/train/000000185004_4662.jpg,data/train_dataset/labels/train/000000185004_4662.png,256,256,256,256,2,0,2,
000000185394_6356,data/train_dataset/img/train/000000185394_6356.jpg,data/train_dataset/labels/train/000000185394_6356.png,256,256,256,256,2,0,2,
000000189069_4283,data/train_dataset/img/train/000000189069_4283.jpg,data/train_dataset/labels/train/000000189069_4283.png,256,256,256,256,2,0,1,
000000190326_970,data/train_dataset/img/train/000000190326_970.jpg,data/train_dataset/labels/train/000000190326_970.png,256,256,256,256,2,0,1,
000000191193_3979,data/train_dataset/img/train/000000191193_3979.jpg,data/train_dataset/labels/train/000000191193_3979.png,256,256,256,256,2,0,2,
000000195449_6211,data/train_dataset/img/train/000000195449_6211.jpg,data/train_dataset/labels/train/000000195449_6211.png,256,256,256,256,2,0,2,
000000196371_1614,data/train_dataset/img/train/000000196371_1614.jpg,data/train_dataset/labels/train/000000196371_1614.png,256,256,256,256,2,0,1,
000000198518_1669,data/train_dataset/img/train/000000198518_1669.jpg,data/train_dataset/labels/train/000000198518_1669.png,256,256,256,256,2,0,2,
000000198836_3389,data/train_dataset/img/train/000000198836_3389.jpg,data/train_dataset/labels/train/000000198836_3389.png,256,256,256,256,2,0,1,
000000204612_4323,data/train_dataset/img/train/000000204612_4323.jpg,data/train_dataset/labels/train/000000204612_4323.png,256,256,256,256,2,0,1,
000000208910_3663,data/train_dataset/img/train/000000208910_3663.jpg,data/train_dataset/labels/train/000000208910_3663.png,256,256,256,256,2,0,2,
000000215618_2686,data/train_dataset/img/train/000000215618_2686.jpg,data/train_dataset/labels/train/000000215618_2686.png,256,256,256,256,2,0,2,
000000216665_5491,data/train_dataset/img/train/000000216665_5491.jpg,data/train_dataset/labels/train/000000216665_5491.png,256,256,256,256,2,0,1,
000000219194_7547,data/train_dataset/img/train/000000219194_7547.jpg,data/train_dataset/labels/train/000000219194_7547.png,256,256,256,256,2,0,1,
000000223640_3774,data/train_dataset/img/train/000000223640_3774.jpg,data/train_dataset/labels/train/000000223640_3774.png,256,256,256,256,2,0,1,
000000224567_1722,data/train_dataset/img/train/000000224567_1722.jpg,data/train_dataset/labels/train/000000224567_1722.png,256,256,256,256,2,0,2,
000000224869_5278,data/train_dataset/img/train/000000224869_5278.jpg,data/train_dataset/labels/train/000000224869_5278.png,256,256,256,256,2,0,2,
000000229419_3328,data/train_dataset/img/train/000000229419_3328.jpg,data/train_dataset/labels/train/000000229419_3328.png,256,256,256,256,2,0,2,
000000229631_480,data/train_dataset/img/train/000000229631_480.jpg,data/train_dataset/labels/train/000000229631_480.png,256,256,256,256,2,0,1,
000000230224_7333,data/train_dataset/img/train/000000230224_7333.jpg,data/train_dataset/labels/train/000000230224_7333.png,256,256,256,256,2,0,1,
000000234475_3677,data/train_dataset/img/train/000000234475_3677.jpg,data/train_dataset/labels/train/000000234475_3677.png,256,256,256,256,2,0,1,
000000240755_2689,data/train_dataset/img/train/000000240755_2689.jpg,data/train_dataset/labels/train/000000240755_2689.png,256,256,256,256,2,0,1,
000000246879_5659,data/train_dataset/img/train/000000246879_5659.jpg,data/train_dataset/labels/train/000000246879_5659.png,256,256,256,256,2,0,2,
000000247301_4455,data/train_dataset/img/train/000000247301_4455.jpg,data/train_dataset/labels/train/000000247301_4455.png,256,256,256,256,2,0,1,
000000249952_401,data/train_dataset/img/train/000000249952_401.jpg,data/train_dataset/labels/train/000000249952_401.png,256,256,256,256,2,0,1,
000000254540_1122,data/train_dataset/img/train/000000254540_1122.jpg,data/train_dataset/labels/train/000000254540_1122.png,256,256,256,256,2,0,1,
000000258305_3996,data/train_dataset/img/train/000000258305_3996.jpg,data/train_dataset/labels/train/000000258305_3996.png,256,256,256,256,2,0,1,
000000264476_4135,data/train_dataset/img/train/000000264476_4135.jpg,data/train_dataset/labels/train/000000264476_4135.png,256,256,256,256,2,0,1,
000000268037_3690,data/train_dataset/img/train/000000268037_3690.jpg,data/train_dataset/labels/train/000000268037_3690.png,256,256,256,256,2,0,2,
000000275028_3168,data/train_dataset/img/train/000000275028_3168.jpg,data/train_dataset/labels/train/000000275028_3168.png,256,256,256,256,2,0,1,
000000275919_4499,data/train_dataset/img/train/000000275919_4499.jpg,data/train_dataset/labels/train/000000275919_4499.png,256,256,256,256,2,0,1,
000000276693_104,data/train_dataset/img/train/000000276693_104.jpg,data/train_dataset/labels/train/000000276693_104.png,256,256,256,256,2,0,2,
000000277688_5570,data/train_dataset/img/train/000000277688_5570.jpg,data/train_dataset/labels/train/000000277688_5570.png,256,256,256,256,2,0,2,
000000285257_4973,data/train_dataset/img/train/000000285257_4973.jpg,data/train_dataset/labels/train/000000285257_4973.png,256,256,256,256,2,0,1,
000000285699_2690,data/train_dataset/img/train/000000285699_2690.jpg,data/train_dataset/labels/train/000000285699_2690.png,256,256,256,256,2,0,1,
000000287341_6222,data/train_dataset/img/train/000000287341_6222.jpg,data/train_dataset/labels/train/000000287341_6222.png,256,256,256,256,2,0,2,
000000288776_84,data/train_dataset/img/train/000000288776_84.jpg,data/train_dataset/labels/train/000000288776_84.png,256,256,256,256,2,0,1,
000000289696_5375,data/train_dataset/img/train/000000289696_5375.jpg,data/train_dataset/labels/train/000000289696_5375.png,256,256,256,256,2,0,1,
000000294108_2480,data/train_dataset/img/train/000000294108_2480.jpg,data/train_dataset/labels/train/000000294108_2480.png,256,256,256,256,2,0,1,
000000296782_6379,data/train_dataset/img/train/000000296782_6379.jpg,data/train_dataset/labels/train/000000296782_6379.png,256,256,256,256,2,0,2,
000000301885_3179,data/train_dataset/img/train/000000301885_3179.jpg,data/train_dataset/labels/train/000000301885_3179.png,256,256,256,256,2,0,2,
000000303706_1261,data/train_dataset/img/train/000000303706_1261.jpg,data/train_dataset/labels/train/000000303706_1261.png,256,256,256,256,2,0,1,
000000305100_2860,data/train_dataset/img/train/000000305100_2860.jpg,data/train_dataset/labels/train/000000305100_2860.png,256,256,256,256,2,0,2,
000000307073_1489,data/train_dataset/img/train/000000307073_1489.jpg,data/train_dataset/labels/train/000000307073_1489.png,256,256,256,256,2,0,2,
000000308687_3712,data/train_dataset/img/train/000000308687_3712.jpg,data/train_dataset/labels/train/000000308687_3712.png,256,256,256,256,2,0,1,
000000310262_1601,data/train_dataset/img/train/000000310262_1601.jpg,data/train_dataset/labels/train/000000310262_1601.png,256,256,256,256,2,0,2,
000000312712_4537,data/train_dataset/img/train/000000312712_4537.jpg,data/train_dataset/labels/train/000000312712_4537.png,256,256,256,256,2,0,2,
000000317781_4461,data/train_dataset/img/train/000000317781_4461.jpg,data/train_dataset/labels/train/000000317781_4461.png,256,256,256,256,2,0,2,
000000320350_103,data/train_dataset/img/train/000000320350_103.jpg,data/train_dataset/labels/train/000000320350_103.png,256,256,256,256,2,0,2,
000000323133_3236,data/train_dataset/img/train/000000323133_3236.jpg,data/train_dataset/labels/train/000000323133_3236.png,256,256,256,256,2,0,1,
000000323466_5790,data/train_dataset/img/train/000000323466_5790.jpg,data/train_dataset/labels/train/000000323466_5790.png,256,256,256,256,2,0,2,
000000325298_2603,data/train_dataset/img/train/000000325298_2603.jpg,data/train_dataset/labels/train/000000325298_2603.png,256,256,256,256,2,0,1,
000000325768_1316,data/train_dataset/img/train/000000325768_1316.jpg,data/train_dataset/labels/train/000000325768_1316.png,256,256,256,256,2,0,1,
000000326073_4335,data/train_dataset/img/train/000000326073_4335.jpg,data/train_dataset/labels/train/000000326073_4335.png,256,256,256,256,2,0,1,
000000328760_6588,data/train_dataset/img/train/000000328760_6588.jpg,data/train_dataset/labels/train/000000328760_6588.png,256,256,256,256,2,0,2,
000000332025_182,data/train_dataset/img/train/000000332025_182.jpg,data/train_dataset/labels/train/000000332025_182.png,256,256,256,256,2,0,2,
000000332568_7319,data/train_dataset/img/train/000000332568_7319.jpg,data/train_dataset/labels/train/000000332568_7319.png,256,256,256,256,2,0,2,
000000332844_1987,data/train_dataset/img/train/000000332844_1987.jpg,data/train_dataset/labels/train/000000332844_1987.png,256,256,256,256,2,0,2,
000000334413_6888,data/train_dataset/img/train/000000334413_6888.jpg,data/train_dataset/labels/train/000000334413_6888.png,256,256,256,256,2,0,2,
000000335633_5425,data/train_dataset/img/train/000000335633_5425.jpg,data/train_dataset/labels/train/000000335633_5425.png,256,256,256,256,2,0,1,
000000336568_167,data/train_dataset/img/train/000000336568_167.jpg,data/train_dataset/labels/train/000000336568_167.png,256,256,256,256,2,0,2,
000000337044_1562,data/train_dataset/img/train/000000337044_1562.jpg,data/train_dataset/labels/train/000000337044_1562.png,256,256,256,256,2,0,2,
000000352399_7349,data/train_dataset/img/train/000000352399_7349.jpg,data/train_dataset/labels/train/000000352399_7349.png,256,256,256,256,2,0,1,
000000357470_5259,data/train_dataset/img/train/000000357470_5259.jpg,data/train_dataset/labels/train/000000357470_5259.png,256,256,256,256,2,0,1,
000000358222_4657,data/train_dataset/img/train/000000358222_4657.jpg,data/train_dataset/labels/train/000000358222_4657.png,256,256,256,256,2,0,2,
000000368371_5813,data/train_dataset/img/train/000000368371_5813.jpg,data/train_dataset/labels/train/000000368371_5813.png,256,256,256,256,2,0,1,
000000369817_2258,data/train_dataset/img/train/000000369817_2258.jpg,data/train_dataset/labels/train/000000369817_2258.png,256,256,256,256,2,0,1,
000000372709_3956,data/train_dataset/img/train/000000372709_3956.jpg,data/train_dataset/labels/train/000000372709_3956.png,256,256,256,256,2,0,1,
000000372902_7334,data/train_dataset/img/train/000000372902_7334.jpg,data/train_dataset/labels/train/000000372902_7334.png,256,256,256,256,2,0,1,
000000382737_1146,data/train_dataset/img/train/000000382737_1146.jpg,data/train_dataset/labels/train/000000382737_1146.png,256,256,256,256,2,0,1,
000000384308_235,data/train_dataset/img/train/000000384308_235.jpg,data/train_dataset/labels/train/000000384308_235.png,256,256,256,256,2,0,1,
000000389382_4124,data/train_dataset/img/train/000000389382_4124.jpg,data/train_dataset/labels/train/000000389382_4124.png,256,256,256,256,2,0,1,
000000390262_3700,data/train_dataset/img/train/000000390262_3700.jpg,data/train_dataset/labels/train/000000390262_3700.png,256,256,256,256,2,0,2,
000000397842_657,data/train_dataset/img/train/000000397842_657.jpg,data/train_dataset/labels/train/000000397842_657.png,256,256,256,256,2,0,2,
000000400134_3371,data/train_dataset/img/train/000000400134_3371.jpg,data/train_dataset/labels/train/000000400134_3371.png,256,256,256,256,2,0,2,
000000401299_5095,data/train_dataset/img/train/000000401299_5095.jpg,data/train_dataset/labels/train/000000401299_5095.png,256,256,256,256,2,0,2,
000000402626_2245,data/train_dataset/img/train/000000402626_2245.jpg,data/train_dataset/labels/train/000000402626_2245.png,256,256,256,256,2,0,2,
000000404163_7058,data/train_dataset/img/train/000000404163_7058.jpg,data/train_dataset/labels/train/000000404163_7058.png,256,256,256,256,2,0,2,
000000410056_600,data/train_dataset/img/train/000000410056_600.jpg,data/train_dataset/labels/train/000000410056_600.png,256,256,256,256,2,0,2,
000000414588_4257,data/train_dataset/img/train/000000414588_4257.jpg,data/train_dataset/labels/train/000000414588_4257.png,256,256,256,256,2,0,1,
000000419618_7033,data/train_dataset/img/train/000000419618_7033.jpg,data/train_dataset/labels/train/000000419618_7033.png,256,256,256,256,2,0,1,
000000423513_1954,data/train_dataset/img/train/000000423513_1954.jpg,data/train_dataset/labels/train/000000423513_1954.png,256,256,256,256,2,0,1,
000000427986_116,data/train_dataset/img/train/000000427986_116.jpg,data/train_dataset/labels/train/000000427986_116.png,256,256,256,256,2,0,2,
000000428746_3914,data/train_dataset/img/train/000000428746_3914.jpg,data/train_dataset/labels/train/000000428746_3914.png,256,256,256,256,2,0,2,
000000435698_3318,data/train_dataset/img/train/000000435698_3318.jpg,data/train_dataset/labels/train/000000435698_3318.png,256,256,256,256,2,0,1,
000000440067_1700,data/train_dataset/img/train/000000440067_1700.jpg,data/train_dataset/labels/train/000000440067_1700.png,256,256,256,256,2,0,1,
000000445859_2851,data/train_dataset/img/train/000000445859_2851.jpg,data/train_dataset/labels/train/000000445859_2851.png,256,256,256,256,2,0,2,
000000447375_2795,data/train_dataset/img/train/000000447375_2795.jpg,data/train_dataset/labels/train/000000447375_2795.png,256,256,256,256,2,0,2,
000000449560_1234,data/train_dataset/img/train/000000449560_1234.jpg,data/train_dataset/labels/train/000000449560_1234.png,256,256,256,256,2,0,2,
000000450160_4333,data/train_dataset/img/train/000000450160_4333.jpg,data/train_dataset/labels/train/000000450160_4333.png,256,256,256,256,2,0,2,
000000456176_3332,data/train_dataset/img/train/000000456176_3332.jpg,data/train_dataset/labels/train/000000456176_3332.png,256,256,256,256,2,0,2,
000000459111_4259,data/train_dataset/img/train/000000459111_4259.jpg,data/train_dataset/labels/train/000000459111_4259.png,256,256,256,256,2,0,2,
000000467978_731,data/train_dataset/img/train/000000467978_731.jpg,data/train_dataset/labels/train/000000467978_731.png,256,256,256,256,2,0,2,
000000468162_273,data/train_dataset/img/train/000000468162_273.jpg,data/train_dataset/labels/train/000000468162_273.png,256,256,256,256,2,0,2,
000000468742_7558,data/train_dataset/img/train/000000468742_7558.jpg,data/train_dataset/labels/train/000000468742_7558.png,256,256,256,256,2,0,1,
000000474434_3544,data/train_dataset/img/train/000000474434_3544.jpg,data/train_dataset/labels/train/000000474434_3544.png,256,256,256,256,2,0,1,
000000475317_6323,data/train_dataset/img/train/000000475317_6323.jpg,data/train_dataset/labels/train/000000475317_6323.png,256,256,256,256,2,0,1,
000000476468_3727,data/train_dataset/img/train/000000476468_3727.jpg,data/train_dataset/labels/train/000000476468_3727.png,256,256,256,256,2,0,2,
000000477647_5556,data/train_dataset/img/train/000000477647_5556.jpg,data/train_dataset/labels/train/000000477647_5556.png,256,256,256,256,2,0,1,
000000478351_2868,data/train_dataset/img/train/000000478351_2868.jpg,data/train_dataset/labels/train/000000478351_2868.png,256,256,256,256,2,0,2,
000000479621_2960,data/train_dataset/img/train/000000479621_2960.jpg,data/train_dataset/labels/train/000000479621_2960.png,256,256,256,256,2,0,2,
000000481101_7500,data/train_dataset/img/train/000000481101_7500.jpg,data/train_dataset/labels/train/000000481101_7500.png,256,256,256,256,2,0,2,
000000481212_908,data/train_dataset/img/train/000000481212_908.jpg,data/train_dataset/labels/train/000000481212_908.png,256,256,256,256,2,0,1,
000000481212_908_1,data/train_dataset/img/train/000000481212_908_1.jpg,data/train_dataset/labels/train/000000481212_908_1.png,256,256,256,256,2,0,2,
000000486777_3821,data/train_dataset/img/train/000000486777_3821.jpg,data/train_dataset/labels/train/000000486777_3821.png,256,256,256,256,2,0,1,
000000487851_5050,data/train_dataset/img/train/000000487851_5050.jpg,data/train_dataset/labels/train/000000487851_5050.png,256,256,256,256,2,0,1,
000000492683_2281,data/train_dataset/img/train/000000492683_2281.jpg,data/train_dataset/labels/train/000000492683_2281.png,256,256,256,256,2,0,2,
000000494678_5439,data/train_dataset/img/train/000000494678_5439.jpg,data/train_dataset/labels/train/000000494678_5439.png,256,256,256,256,2,0,2,
000000495637_6216,data/train_dataset/img/train/000000495637_6216.jpg,data/train_dataset/labels/train/000000495637_6216.png,256,256,256,256,2,0,2,
000000496657_3062,data/train_dataset/img/train/000000496657_3062.jpg,data/train_dataset/labels/train/000000496657_3062.png,256,256,256,256,2,0,1,
000000500100_706,data/train_dataset/img/train/000000500100_706.jpg,data/train_dataset/labels/train/000000500100_706.png,256,256,256,256,2,0,2,
000000504058_4906,data/train_dataset/img/train/000000504058_4906.jpg,data/train_dataset/labels/train/000000504058_4906.png,256,256,256,256,2,0,1,
000000506401_447,data/train_dataset/img/train/000000506401_447.jpg,data/train_dataset/labels/train/000000506401_447.png,256,256,256,256,2,0,1,
000000509018_7223,data/train_dataset/img/train/000000509018_7223.jpg,data/train_dataset/labels/train/000000509018_7223.png,256,256,256,256,2,0,1,
000000512068_4624,data/train_dataset/img/train/000000512068_4624.jpg,data/train_dataset/labels/train/000000512068_4624.png,256,256,256,256,2,0,1,
000000516146_7237,data/train_dataset/img/train/000000516146_7237.jpg,data/train_dataset/labels/train/000000516146_7237.png,256,256,256,256,2,0,2,
000000516212_1440,data/train_dataset/img/train/000000516212_1440.jpg,data/train_dataset/labels/train/000000516212_1440.png,256,256,256,256,2,0,1,
000000521112_6427,data/train_dataset/img/train/000000521112_6427.jpg,data/train_dataset/labels/train/000000521112_6427.png,256,256,256,256,2,0,2,
000000531096_2391,data/train_dataset/img/train/000000531096_2391.jpg,data/train_dataset/labels/train/000000531096_2391.png,256,256,256,256,2,0,2,
000000533026_799,data/train_dataset/img/train/000000533026_799.jpg,data/train_dataset/labels/train/000000533026_799.png,256,256,256,256,2,0,1,
000000536400_813,data/train_dataset/img/train/000000536400_813.jpg,data/train_dataset/labels/train/000000536400_813.png,256,256,256,256,2,0,2,
000000546642_283,data/train_dataset/img/train/000000546642_283.jpg,data/train_dataset/labels/train/000000546642_283.png,256,256,256,256,2,0,2,
000000546703_5948,data/train_dataset/img/train/000000546703_5948.jpg,data/train_dataset/labels/train/000000546703_5948.png,256,256,256,256,2,0,2,
000000546800_4379,data/train_dataset/img/train/000000546800_4379.jpg,data/train_dataset/labels/train/000000546800_4379.png,256,256,256,256,2,0,1,
000000549886_7436,data/train_dataset/img/train/000000549886_7436.jpg,data/train_dataset/labels/train/000000549886_7436.png,256,256,256,256,2,0,2,
000000562835_2386,data/train_dataset/img/train/000000562835_2386.jpg,data/train_dataset/labels/train/000000562835_2386.png,256,256,256,256,2,0,2,
000000562999_3786,data/train_dataset/img/train/000000562999_3786.jpg,data/train_dataset/labels/train/000000562999_3786.png,256,256,256,256,2,0,1,
000000572825_375,data/train_dataset/img/train/000000572825_375.jpg,data/train_dataset/labels/train/000000572825_375.png,256,256,256,256,2,0,2,
000000574769_0,data/train_dataset/img/train/000000574769_0.jpg,data/train_dataset/labels/train/000000574769_0.png,256,256,256,256,2,0,1,
000000575005_3321,data/train_dataset/img/train/000000575005_3321.jpg,data/train_dataset/labels/train/000000575005_3321.png,256,256,256,256,2,0,2,
000000575882_794,data/train_dataset/img/train/000000575882_794.jpg,data/train_dataset/labels/train/000000575882_794.png,256,256,256,256,2,0,1,
000000576855_2826,data/train_dataset/img/train/000000576855_2826.jpg,data/train_dataset/labels/train/000000576855_2826.png,256,256,256,256,2,0,2,
000000579822_1485,data/train_dataset/img/train/000000579822_1485.jpg,data/train_dataset/labels/train/000000579822_1485.png,256,256,256,256,2,0,2,
